entrezA	entrezB	MIPPIE_score
58234	83814	0.7529407830188879
83814	83814	0.4412607184416053
234779	17096	0.8066849668661721
94212	17096	0.9041617647961112
384783	17096	0.3507458930771186
20963	17096	0.9041617647961112
26365	17096	0.3507458930771186
94212	19260	0.7529407830188879
16438	14804	0.7285009696669187
58234	14804	0.3507458930771186
15516	18667	0.4436502110608205
23859	224997	0.9332721103692524
14812	224997	0.8970326686707022
14811	224997	0.9419042045629976
665113	224997	0.8427572850047658
20430	224997	0.8427572850047658
58234	224997	0.9689041346887556
14799	224997	0.5952702815819886
83814	224997	0.7529407830188879
224997	544963	0.8427572850047658
16162	16162	0.5952702815819886
13649	13649	0.8066849668661721
20963	72828	0.41426078831584734
14812	20779	0.8164556782576167
20963	20779	0.5952702815819886
13131	20779	0.5952702815819886
16331	20779	0.5317553863432598
58234	20779	0.8164556782576167
13649	20779	0.7920158649056475
20779	20779	0.448548504551
94212	12703	0.7529407830188879
15900	12703	0.5317553863432598
18783	12389	0.8416053782929391
12288	12389	0.5317553863432598
20648	12389	0.5317553863432598
13405	12389	0.5317553863432598
19016	12389	0.5952702815819886
11461	12389	0.41426078831584734
50873	12389	0.7285009696669187
20779	12389	0.41426078831584734
20963	12977	0.4436502110608205
11461	12977	0.4436502110608205
15900	12977	0.3507458930771186
20779	12977	0.7431700716274434
12977	12977	0.9419253652896304
20963	14127	0.41426078831584734
20779	16590	0.41426078831584734
12703	16590	0.9062721802434944
16590	12983	0.5317553863432598
14812	16367	0.5317553863432598
384783	16367	0.5952702815819886
16190	16367	0.5952702815819886
15516	16367	0.5317553863432598
94212	19264	0.5317553863432598
65246	83490	0.5317553863432598
83490	83490	0.5317553863432598
13132	16443	0.7920158649056475
83490	16443	0.5952702815819886
15900	22436	0.5317553863432598
665113	14800	0.7529407830188879
14828	14800	0.5317553863432598
14799	14800	0.8919663429072877
224997	14800	0.8427572850047658
665113	21413	0.7529407830188879
21413	21413	0.5071651062995493
13132	14605	0.5317553863432598
83814	14605	0.8164556782576167
79362	79362	0.7285009696669187
17172	11924	0.9054478066276525
21413	15902	0.7920158649056475
15902	15902	0.8066849668661721
17172	15110	0.5317553863432598
15110	15110	0.9367849520359915
21413	12398	0.5317553863432598
11461	226049	0.5317553863432598
83560	83560	0.5952702815819886
14811	13860	0.5317553863432598
14799	13860	0.5317553863432598
20849	230787	0.5317553863432598
16797	230787	0.3507458930771186
16797	210757	0.8406468695573823
72433	22138	0.5317553863432598
12335	22138	0.8255016137361062
21388	17975	0.5317553863432598
65246	17975	0.5317553863432598
384783	17975	0.7529407830188879
16367	17975	0.8427572850047658
69253	109711	0.5317553863432598
67731	13346	0.5317553863432598
19016	13346	0.5317553863432598
234779	12229	0.5952702815819886
16331	12229	0.5317553863432598
21803	21803	0.7489496355989168
81879	264064	0.5317553863432598
234779	17060	0.5952702815819886
15900	17060	0.3507458930771186
12229	17060	0.9041617647961112
18783	16706	0.5317553863432598
16706	16706	0.41426078831584734
72433	18412	0.5317553863432598
65246	18412	0.5317553863432598
20128	18412	0.7431700716274434
14469	18412	0.3507458930771186
15900	18412	0.5952702815819886
14799	18412	0.8434556083833746
14800	18412	0.7529407830188879
18412	18412	0.8472701088596656
79362	12952	0.5317553863432598
50873	18037	0.5317553863432598
18033	19696	0.9417302332059392
12043	19696	0.5317553863432598
21413	19696	0.5317553863432598
18037	19696	0.5952702815819886
19696	19696	0.47942033677273754
104718	668212	0.5317553863432598
14812	15511	0.8427572850047658
20648	15511	0.5317553863432598
16190	15511	0.5317553863432598
15516	15511	0.4436502110608205
12703	15511	0.3507458930771186
15364	19645	0.7529407830188879
18505	19645	0.7114415855607127
15902	19645	0.5952702815819886
21388	99377	0.7285009696669187
81879	99377	0.7529407830188879
99377	20689	0.7529407830188879
65246	17127	0.5317553863432598
21804	17127	0.5952702815819886
15902	17127	0.4159054415340088
13346	17127	0.4159054415340088
17127	17127	0.47942033677273754
226049	67399	0.5317553863432598
65246	18569	0.5317553863432598
20849	18569	0.5317553863432598
16797	18569	0.5317553863432598
20849	14011	0.5317553863432598
15900	14011	0.5952702815819886
16531	11806	0.8782153379672103
11806	11806	0.8493941684861831
14804	16011	0.5317553863432598
72433	22142	0.5317553863432598
65246	22142	0.5317553863432598
14812	22142	0.8427572850047658
67731	22142	0.5317553863432598
16531	22142	0.5317553863432598
15450	22142	0.5317553863432598
14800	22142	0.5317553863432598
12229	22142	0.5317553863432598
69253	20742	0.5317553863432598
58869	20742	0.7529407830188879
234779	20742	0.5317553863432598
14812	20742	0.5317553863432598
665113	20742	0.8164556782576167
20430	20742	0.7529407830188879
58234	20742	0.8427572850047658
224997	20742	0.8427572850047658
17127	20742	0.41426078831584734
65246	22154	0.5317553863432598
15364	22154	0.4436502110608205
16531	22154	0.8427572850047658
16202	22154	0.5317553863432598
14800	22154	0.5317553863432598
58869	15165	0.8782153379672103
665113	15165	0.7529407830188879
58234	15165	0.8427572850047658
20742	15165	0.7529407830188879
15165	15165	0.9057031380716064
22139	19662	0.41426078831584734
20191	20190	0.8180293061826498
238871	20190	0.5317553863432598
20190	20190	0.41426078831584734
67731	214384	0.7431700716274434
17127	214384	0.41426078831584734
665113	12298	0.7529407830188879
18505	17286	0.5952702815819886
14812	53416	0.5317553863432598
65246	109620	0.5317553863432598
67731	109620	0.5317553863432598
20849	12557	0.5317553863432598
19264	12557	0.5317553863432598
14800	74018	0.5955916407514616
15900	13058	0.5952702815819886
20191	238161	0.5952702815819886
20191	14161	0.5317553863432598
67295	67790	0.5317553863432598
76308	67790	0.5317553863432598
17127	664805	0.41426078831584734
12288	21825	0.5317553863432598
21825	21825	0.7285009696669187
268973	17951	0.8998519260538627
17536	18516	0.5317553863432598
15436	18516	0.5317553863432598
15900	18173	0.5317553863432598
18412	18173	0.3507458930771186
665113	12361	0.7529407830188879
11461	12361	0.5317553863432598
50873	12361	0.6222702117077465
224997	12361	0.7529407830188879
22154	12361	0.5317553863432598
319924	12361	0.9682296672509436
12361	12361	0.41426078831584734
319924	327814	0.5317553863432598
12361	327814	0.8769329741515093
327814	327814	0.4412607184416053
20191	13033	0.5317553863432598
13405	13033	0.5317553863432598
15900	13033	0.5317553863432598
21413	11910	0.5317553863432598
18033	16159	0.905120273531668
19696	16159	0.9554734532764784
15900	18018	0.8164556782576167
20779	18018	0.5317553863432598
12902	18018	0.5317553863432598
18018	14461	0.4436502110608205
14461	14461	0.5317553863432598
665113	320127	0.7529407830188879
320127	240168	0.41426078831584734
14804	13717	0.5317553863432598
12229	16948	0.5317553863432598
15511	16948	0.8427572850047658
13717	16948	0.6681281747544451
23871	23871	0.5952702815819886
65962	18596	0.8493941684861831
18596	18596	0.889016508974835
20963	22177	0.41426078831584734
18844	22177	0.8427572850047658
16480	16337	0.5317553863432598
20779	16337	0.9062721802434944
12703	16337	0.7920158649056475
12389	16337	0.7920158649056475
16367	16337	0.5952702815819886
58869	17886	0.7529407830188879
14812	17886	0.5317553863432598
12977	17886	0.4436502110608205
109620	17886	0.5317553863432598
67731	11674	0.5317553863432598
15364	11674	0.4436502110608205
16531	11674	0.8427572850047658
20648	11674	0.5317553863432598
13405	11674	0.5317553863432598
12229	11674	0.5317553863432598
16531	18655	0.7529407830188879
67731	18746	0.5317553863432598
20648	18746	0.5317553863432598
18746	18746	0.41426078831584734
12389	21812	0.9419042045629976
21803	21812	0.6591065359901904
21812	21812	0.8028840503613737
